                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.42278,                0.41028,                0.83513,                0.97822,                0.16784,                 0.2465,                0.21037,                0.40431,                0.77794,                0.52232,             0.00081688,             0.00081688,             0.00081688
                     37,                  0.426,                0.39812,                 0.8349,                0.98264,                0.22111,                0.29443,                0.24444,                0.39652,                0.74832,                0.51994,              0.0008045,              0.0008045,              0.0008045
                     38,                0.46303,                0.39963,                0.85221,                0.93762,                0.24444,                0.33099,                0.27494,                0.42743,                0.72834,                0.51859,             0.00079213,             0.00079213,             0.00079213
                     39,                0.45481,                0.39397,                0.84045,                0.97784,                0.17036,                0.28751,                0.25066,                0.40145,                0.70354,                0.51293,             0.00077975,             0.00077975,             0.00077975
                     40,                0.43191,                0.42305,                0.84775,                0.96475,                0.36596,                0.47595,                0.39531,                 0.3815,                0.75662,                0.51352,             0.00076738,             0.00076738,             0.00076738
                     41,                0.43989,                0.39814,                0.83958,                0.94612,                 0.2777,                0.39369,                0.33963,                0.41198,                0.73824,                0.51898,               0.000755,               0.000755,               0.000755
                     42,                0.48053,                 0.3974,                0.84689,                0.95268,                0.38083,                0.47289,                0.39231,                0.38874,                0.70454,                0.51529,             0.00074263,             0.00074263,             0.00074263
                     43,                0.40653,                0.38155,                0.83916,                0.98032,                0.31903,                0.42918,                0.36583,                0.39123,                0.69587,                0.51911,             0.00073025,             0.00073025,             0.00073025
                     44,                0.43265,                0.38368,                0.84237,                0.99212,                0.27624,                0.37151,                0.30335,                0.41891,                0.69585,                0.52193,             0.00071788,             0.00071788,             0.00071788
                     45,                0.43797,                0.39527,                 0.8604,                0.98756,                 0.2545,                0.34639,                0.29525,                0.37984,                0.66681,                0.51409,              0.0007055,              0.0007055,              0.0007055
                     46,                0.41931,                 0.3999,                0.84683,                0.98775,                0.21024,                0.29236,                0.24873,                0.34551,                0.65374,                0.51263,             0.00069313,             0.00069313,             0.00069313
                     47,                0.43547,                0.37984,                 0.8338,                0.98323,                0.22737,                0.30444,                0.26094,                0.36572,                0.71473,                0.51756,             0.00068075,             0.00068075,             0.00068075
